Zipcode,Median Age,Population,Asian,Black,Hispanic,White,American Indian,Native Hawaaiian,Two or more races
73121,52.2,3386.0,70.0,2143.0,168.0,1085.0,17.0,6.0,65.0
73122,33.7,13184.0,417.0,1983.0,2934.0,8853.0,311.0,29.0,723.0
73439,49.7,7460.0,2.0,91.0,382.0,5985.0,437.0,0.0,776.0
73443,34.8,3987.0,24.0,146.0,71.0,3115.0,450.0,0.0,252.0
79745,33.2,6984.0,0.0,388.0,4557.0,6032.0,114.0,0.0,278.0
79068,36.5,3489.0,5.0,44.0,391.0,3320.0,30.0,0.0,51.0
79080,52.7,461.0,8.0,1.0,0.0,437.0,0.0,0.0,15.0
79082,44.5,218.0,0.0,1.0,96.0,217.0,0.0,0.0,0.0
79087,44.3,629.0,2.0,0.0,108.0,568.0,16.0,0.0,32.0
79096,35.9,2071.0,0.0,16.0,671.0,1854.0,3.0,0.0,45.0
79236,49.7,218.0,0.0,0.0,62.0,215.0,0.0,0.0,0.0
79240,31.6,81.0,0.0,0.0,49.0,32.0,0.0,0.0,0.0
79259,76.9,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
79312,44.7,978.0,9.0,43.0,496.0,878.0,0.0,0.0,12.0
79324,19.9,42.0,0.0,0.0,9.0,42.0,0.0,0.0,0.0
79329,38.1,3112.0,7.0,15.0,1139.0,3010.0,5.0,0.0,8.0
79342,32.6,516.0,0.0,1.0,204.0,512.0,0.0,0.0,0.0
79367,32.3,777.0,0.0,21.0,220.0,739.0,11.0,0.0,0.0
79370,45.3,1594.0,11.0,48.0,522.0,1458.0,18.0,0.0,9.0
79371,42.3,1399.0,11.0,27.0,720.0,1298.0,6.0,0.0,24.0
79752,38.7,2467.0,9.0,165.0,1552.0,864.0,0.0,0.0,3.0
79758,34.3,2403.0,0.0,0.0,561.0,2360.0,0.0,0.0,32.0
79772,35.4,14029.0,199.0,446.0,10467.0,10927.0,8.0,21.0,117.0
79110,34.0,19158.0,187.0,593.0,5893.0,16584.0,188.0,38.0,829.0
79111,29.2,2108.0,12.0,97.0,450.0,1901.0,24.0,0.0,61.0
79119,37.0,17524.0,335.0,121.0,3288.0,16490.0,115.0,56.0,241.0
79201,34.6,7288.0,76.0,583.0,2249.0,6224.0,0.0,0.0,164.0
79220,37.1,208.0,0.0,0.0,45.0,191.0,0.0,0.0,0.0
79247,40.5,64.0,0.0,0.0,7.0,57.0,0.0,0.0,0.0
79311,36.5,3415.0,0.0,13.0,1499.0,3225.0,7.0,0.0,94.0
79323,29.7,7252.0,0.0,38.0,4977.0,7001.0,15.0,0.0,109.0
79326,41.6,59.0,0.0,0.0,10.0,59.0,0.0,0.0,0.0
79359,28.5,3025.0,0.0,160.0,2362.0,2787.0,0.0,0.0,33.0
79380,49.7,80.0,0.0,0.0,22.0,70.0,0.0,0.0,3.0
79778,44.6,1056.0,17.0,55.0,355.0,678.0,21.0,0.0,0.0
79347,33.5,7202.0,57.0,31.0,4401.0,6059.0,80.0,0.0,15.0
79379,35.7,622.0,0.0,24.0,301.0,534.0,2.0,0.0,30.0
79360,27.6,16666.0,102.0,361.0,5591.0,15780.0,57.0,9.0,27.0
79366,54.7,1056.0,3.0,0.0,118.0,1024.0,0.0,0.0,26.0
79377,34.4,269.0,0.0,0.0,105.0,266.0,0.0,0.0,0.0
79381,37.3,1548.0,10.0,8.0,723.0,1380.0,0.0,6.0,12.0
62221,38.2,30301.0,865.0,6725.0,1445.0,20658.0,15.0,0.0,1632.0
62232,37.3,6828.0,4.0,429.0,700.0,6041.0,12.0,0.0,284.0
62233,41.4,9521.0,31.0,2123.0,554.0,7131.0,18.0,0.0,113.0
62240,37.1,1507.0,0.0,27.0,0.0,1474.0,0.0,0.0,6.0
62244,52.3,1006.0,0.0,0.0,1.0,1001.0,0.0,0.0,5.0
62245,43.7,1795.0,0.0,0.0,37.0,1755.0,6.0,0.0,0.0
62254,42.7,6189.0,0.0,854.0,61.0,5230.0,17.0,0.0,88.0
62279,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62298,41.8,16826.0,230.0,57.0,281.0,16380.0,0.0,0.0,120.0
62301,39.6,32350.0,279.0,2311.0,656.0,28817.0,43.0,1.0,800.0
62313,59.6,372.0,0.0,2.0,3.0,367.0,0.0,0.0,3.0
62346,54.1,160.0,0.0,0.0,0.0,157.0,0.0,0.0,3.0
62355,47.5,745.0,1.0,0.0,7.0,734.0,0.0,0.0,10.0
62363,41.4,5694.0,36.0,155.0,58.0,5454.0,4.0,0.0,32.0
62365,43.9,477.0,2.0,0.0,2.0,468.0,0.0,3.0,4.0
62376,39.2,1110.0,0.0,0.0,4.0,1100.0,0.0,0.0,10.0
62411,39.5,4145.0,0.0,8.0,5.0,4137.0,0.0,0.0,0.0
62418,36.2,2180.0,0.0,0.0,0.0,2147.0,0.0,28.0,5.0
62424,33.4,2421.0,17.0,0.0,22.0,2351.0,0.0,0.0,39.0
78758,32.4,48993.0,2985.0,4220.0,22901.0,31780.0,554.0,0.0,1051.0
78801,32.2,22518.0,253.0,170.0,17529.0,20886.0,101.0,17.0,88.0
78850,44.7,1109.0,0.0,0.0,532.0,1084.0,7.0,0.0,0.0
78873,35.7,2053.0,2.0,19.0,537.0,1910.0,0.0,0.0,1.0
